439376185941049344  eu  -1.042E+01  eu  correct
439381208234196992  es  -2.132E+01  es  correct
439382100085837824  pt  -1.445E+01  es  wrong
439382129458565120  es  -5.607E+00  es  correct
439386157508734977  es  -9.798E+00  es  correct
439394647316889602  pt  -4.688E+00  es  wrong
439395694668185600  es  -1.198E+01  es  correct
439398478582906880  pt  -1.180E+01  es  wrong
439402345328553984  es  -1.604E+01  en  wrong
439404109452812288  es  -1.166E+01  es  correct
439406327400763392  es  -1.064E+01  es  correct
439407088562081792  es  -1.240E+01  es  correct
439410399721840640  es  -9.441E+00  es  correct
439411017601540097  es  -9.292E+00  es  correct
439412009717993472  es  -8.159E+00  es  correct
439415767445282816  es  -1.007E+01  es  correct
439416295495577601  pt  -2.331E+01  es  wrong
439418015843897344  es  -6.194E+00  es  correct
439423648437645312  es  -1.515E+01  es  correct
439450766596911104  es  -1.611E+01  es  correct
439454466564452352  es  -2.668E+01  es  correct
439460882054406144  es  -6.952E+00  es  correct
439463383545708544  es  -5.845E+00  es  correct
439464456259923968  es  -2.220E+01  ca  wrong
439472783383613440  en  -1.498E+01  es  wrong
